head	relation	tail
india	weightedunvote	usa
israel	students	usa
usa	embassy	poland
jordan	embassy	egypt
india	unweightedunvote	israel
poland	lostterritory	ussr
india	ngoorgs3	israel
burma	reldiplomacy	india
egypt	relbooktranslations	usa
cuba	unweightedunvote	israel
usa	officialvisits	egypt
netherlands	ngo	poland
israel	ngoorgs3	india
india	reltreaties	uk
burma	exports3	uk
netherlands	timesinceally	cuba
cuba	relngo	netherlands
israel	booktranslations	usa
egypt	relintergovorgs	uk
israel	intergovorgs3	india
israel	commonbloc1	china
indonesia	embassy	brazil
uk	commonbloc1	israel
uk	ngo	usa
india	students	uk
indonesia	embassy	ussr
burma	relngo	netherlands
brazil	commonbloc1	egypt
usa	negativebehavior	poland
uk	weightedunvote	egypt
indonesia	blockpositionindex	ussr
usa	exportbooks	netherlands
uk	exports3	netherlands
usa	weightedunvote	poland
india	commonbloc1	usa
usa	ngo	israel
brazil	blockpositionindex	ussr
india	blockpositionindex	ussr
india	militaryalliance	usa
netherlands	treaties	ussr
ussr	blockpositionindex	indonesia
netherlands	weightedunvote	ussr
indonesia	reldiplomacy	china
china	embassy	ussr
brazil	unweightedunvote	uk
china	negativebehavior	indonesia
uk	officialvisits	usa
cuba	unweightedunvote	uk
usa	relexports	india
china	relbooktranslations	uk
jordan	relngo	burma
poland	conferences	india
brazil	commonbloc2	uk
poland	relbooktranslations	usa
burma	ngoorgs3	usa
burma	booktranslations	usa
cuba	conferences	brazil
ussr	independence	usa
ussr	unweightedunvote	israel
usa	negativecomm	ussr
uk	treaties	jordan
brazil	reltreaties	netherlands
uk	exportbooks	india
egypt	timesinceally	cuba
indonesia	relintergovorgs	brazil
jordan	commonbloc1	uk
uk	independence	jordan
poland	relintergovorgs	india
cuba	reldiplomacy	netherlands
poland	commonbloc0	netherlands
israel	unweightedunvote	brazil
poland	intergovorgs3	egypt
poland	relngo	usa
usa	independence	jordan
netherlands	booktranslations	uk
brazil	relngo	india
israel	relemigrants	usa
egypt	relngo	israel
cuba	embassy	israel
ussr	negativecomm	usa
egypt	commonbloc1	netherlands
indonesia	relngo	brazil
poland	ngo	netherlands
netherlands	timesinceally	egypt
netherlands	relexports	usa
usa	releconomicaid	israel
burma	commonbloc1	poland
brazil	nonviolentbehavior	usa
brazil	relbooktranslations	usa
cuba	treaties	usa
usa	treaties	cuba
netherlands	conferences	usa
ussr	intergovorgs	usa
cuba	commonbloc1	israel
cuba	relintergovorgs	usa
usa	commonbloc2	uk
egypt	independence	jordan
indonesia	nonviolentbehavior	china
usa	accusation	ussr
netherlands	exportbooks	uk
egypt	intergovorgs3	india
uk	treaties	ussr
usa	blockpositionindex	indonesia
israel	tourism3	usa
poland	independence	cuba
indonesia	reldiplomacy	india
egypt	students	uk
poland	pprotests	usa
indonesia	relintergovorgs	burma
brazil	independence	cuba
jordan	ngoorgs3	israel
cuba	exports3	uk
jordan	commonbloc1	brazil
jordan	weightedunvote	netherlands
poland	commonbloc2	cuba
indonesia	embassy	netherlands
china	blockpositionindex	usa
egypt	intergovorgs	uk
indonesia	commonbloc2	israel
uk	embassy	china
china	reldiplomacy	netherlands
ussr	commonbloc1	indonesia
cuba	relintergovorgs	poland
usa	intergovorgs	brazil
china	commonbloc0	netherlands
china	intergovorgs3	egypt
usa	intergovorgs3	uk
usa	relintergovorgs	brazil
usa	militaryalliance	indonesia
indonesia	intergovorgs	india
poland	independence	netherlands
jordan	relngo	uk
brazil	ngo	usa
uk	timesincewar	china
poland	intergovorgs3	brazil
burma	embassy	uk
netherlands	unweightedunvote	israel
israel	ngo	brazil
cuba	boycottembargo	uk
usa	relngo	brazil
netherlands	ngo	brazil
cuba	embassy	ussr
usa	treaties	india
ussr	independence	uk
china	intergovorgs3	netherlands
china	ngoorgs3	israel
netherlands	intergovorgs	israel
cuba	independence	brazil
israel	commonbloc1	uk
china	embassy	netherlands
india	relngo	usa
egypt	expeldiplomats	uk
netherlands	blockpositionindex	ussr
uk	unweightedunvote	burma
jordan	relintergovorgs	ussr
poland	timesinceally	usa
egypt	reldiplomacy	ussr
ussr	independence	cuba
ussr	nonviolentbehavior	uk
china	treaties	cuba
egypt	reltreaties	jordan
egypt	relexports	china
usa	conferences	ussr
india	intergovorgs	netherlands
india	ngo	netherlands
netherlands	embassy	indonesia
usa	pprotests	indonesia
indonesia	intergovorgs3	usa
uk	unweightedunvote	poland
uk	timesinceally	netherlands
egypt	relintergovorgs	netherlands
usa	commonbloc1	israel
usa	weightedunvote	egypt
poland	relngo	india
ussr	economicaid	india
india	officialvisits	ussr
ussr	negativebehavior	china
jordan	relintergovorgs	brazil
uk	weightedunvote	brazil
israel	relstudents	usa
usa	intergovorgs3	egypt
burma	commonbloc2	indonesia
burma	unweightedunvote	uk
brazil	blockpositionindex	poland
egypt	severdiplomatic	uk
egypt	relngo	poland
usa	economicaid	egypt
usa	nonviolentbehavior	cuba
poland	commonbloc1	indonesia
uk	timesincewar	burma
indonesia	relintergovorgs	uk
india	nonviolentbehavior	indonesia
ussr	reldiplomacy	cuba
brazil	relintergovorgs	uk
china	blockpositionindex	uk
indonesia	embassy	jordan
indonesia	intergovorgs	egypt
israel	ngoorgs3	netherlands
jordan	relngo	poland
uk	treaties	israel
uk	negativebehavior	indonesia
egypt	reldiplomacy	indonesia
india	intergovorgs	usa
indonesia	ngoorgs3	israel
jordan	commonbloc2	india
ussr	reldiplomacy	burma
uk	reltourism	egypt
brazil	commonbloc0	ussr
usa	tourism	jordan
netherlands	weightedunvote	brazil
poland	embassy	jordan
jordan	ngoorgs3	india
china	violentactions	usa
uk	tourism3	ussr
netherlands	intergovorgs3	brazil
poland	treaties	uk
netherlands	independence	cuba
netherlands	timesinceally	india
uk	timesinceally	poland
indonesia	commonbloc1	poland
brazil	reldiplomacy	poland
poland	blockpositionindex	usa
ussr	commonbloc0	brazil
brazil	independence	ussr
indonesia	nonviolentbehavior	usa
uk	warning	indonesia
brazil	weightedunvote	netherlands
israel	intergovorgs3	uk
ussr	reltreaties	usa
brazil	independence	netherlands
uk	treaties	egypt
netherlands	independence	brazil
cuba	relngo	israel
uk	commonbloc0	china
poland	independence	usa
burma	intergovorgs	india
indonesia	conferences	ussr
uk	reltourism	brazil
netherlands	commonbloc1	india
burma	intergovorgs3	usa
poland	reldiplomacy	netherlands
burma	relexports	uk
egypt	intergovorgs	brazil
usa	independence	uk
ussr	independence	egypt
egypt	embassy	indonesia
uk	relexportbooks	india
china	relngo	usa
israel	embassy	cuba
uk	intergovorgs	egypt
egypt	commonbloc2	israel
brazil	commonbloc1	israel
ussr	expeldiplomats	usa
poland	ngoorgs3	brazil
china	reldiplomacy	india
uk	conferences	ussr
netherlands	weightedunvote	jordan
cuba	commonbloc1	jordan
india	unweightedunvote	uk
indonesia	intergovorgs3	uk
poland	embassy	ussr
netherlands	weightedunvote	uk
india	booktranslations	usa
china	timesincewar	usa
usa	weightedunvote	burma
usa	officialvisits	brazil
uk	negativebehavior	india
egypt	intergovorgs	india
brazil	reldiplomacy	india
jordan	commonbloc2	egypt
egypt	booktranslations	uk
brazil	ngoorgs3	poland
jordan	relintergovorgs	egypt
india	intergovorgs3	egypt
poland	intergovorgs	netherlands
ussr	commonbloc1	egypt
ussr	blockpositionindex	israel
netherlands	embassy	cuba
poland	ngo	uk
brazil	reldiplomacy	netherlands
indonesia	accusation	china
usa	reltourism	uk
netherlands	commonbloc2	usa
ussr	embassy	israel
cuba	timesinceally	egypt
uk	intergovorgs3	egypt
cuba	timesinceally	china
usa	commonbloc0	poland
israel	treaties	uk
india	embassy	china
egypt	relngo	netherlands
israel	exports3	uk
cuba	ngoorgs3	netherlands
china	negativebehavior	usa
brazil	relexports	netherlands
indonesia	intergovorgs3	netherlands
burma	embassy	usa
usa	ngo	netherlands
cuba	timesinceally	poland
burma	relintergovorgs	netherlands
burma	relbooktranslations	usa
egypt	reltreaties	netherlands
india	timesinceally	egypt
usa	treaties	brazil
ussr	commonbloc0	uk
poland	relngo	israel
cuba	reldiplomacy	poland
usa	intergovorgs3	israel
ussr	relngo	usa
cuba	commonbloc2	ussr
egypt	timesinceally	uk
ussr	embassy	egypt
indonesia	relstudents	egypt
cuba	eemigrants	usa
usa	intergovorgs	ussr
ussr	weightedunvote	netherlands
poland	independence	ussr
netherlands	tourism	usa
usa	eemigrants	uk
uk	unweightedunvote	ussr
uk	tourism3	netherlands
cuba	intergovorgs3	brazil
poland	independence	china
ussr	conferences	india
israel	weightedunvote	cuba
netherlands	reltreaties	uk
india	embassy	usa
jordan	relngo	egypt
usa	embassy	israel
india	pprotests	china
egypt	timesincewar	uk
usa	commonbloc1	burma
brazil	commonbloc1	jordan
india	conferences	ussr
egypt	commonbloc2	burma
poland	timesinceally	uk
israel	commonbloc1	brazil
indonesia	relngo	uk
netherlands	ngoorgs3	uk
brazil	relintergovorgs	india
cuba	relngo	usa
uk	reltreaties	netherlands
israel	commonbloc2	india
ussr	negativecomm	china
usa	reltourism	ussr
usa	relexportbooks	netherlands
india	relexports	egypt
egypt	independence	china
jordan	reltreaties	egypt
ussr	economicaid	poland
india	embassy	ussr
poland	commonbloc1	israel
china	warning	usa
egypt	reldiplomacy	brazil
india	commonbloc2	burma
brazil	reldiplomacy	egypt
israel	relbooktranslations	uk
israel	commonbloc2	jordan
usa	conferences	india
usa	relbooktranslations	ussr
uk	weightedunvote	burma
egypt	reldiplomacy	netherlands
ussr	unweightedunvote	netherlands
jordan	embassy	usa
cuba	commonbloc0	uk
ussr	relngo	uk
egypt	unweightedunvote	uk
cuba	ngo	usa
cuba	blockpositionindex	netherlands
india	duration	china
china	timesincewar	india
jordan	ngoorgs3	uk
india	exports3	usa
indonesia	officialvisits	china
egypt	relstudents	usa
ussr	blockpositionindex	netherlands
cuba	intergovorgs	uk
usa	weightedunvote	uk
egypt	commonbloc1	poland
usa	negativecomm	china
egypt	independence	netherlands
indonesia	duration	china
poland	intergovorgs	uk
netherlands	ngoorgs3	poland
cuba	nonviolentbehavior	usa
usa	conferences	burma
jordan	relbooktranslations	uk
israel	relbooktranslations	ussr
uk	treaties	netherlands
egypt	exports3	usa
usa	relexports	netherlands
jordan	embassy	uk
uk	intergovorgs3	israel
poland	relintergovorgs	netherlands
india	conferences	indonesia
usa	accusation	china
china	relngo	uk
egypt	intergovorgs3	uk
israel	relintergovorgs	brazil
poland	reldiplomacy	ussr
indonesia	relngo	israel
china	ngoorgs3	india
ussr	timesincewar	poland
burma	conferences	india
jordan	relintergovorgs	uk
cuba	reldiplomacy	uk
cuba	relintergovorgs	israel
israel	ngoorgs3	poland
netherlands	embassy	jordan
brazil	reltreaties	poland
usa	blockpositionindex	burma
poland	timesinceally	netherlands
israel	intergovorgs	india
usa	treaties	uk
netherlands	timesinceally	ussr
egypt	commonbloc1	usa
ussr	embassy	india
netherlands	intergovorgs	cuba
ussr	reltreaties	uk
jordan	commonbloc2	burma
poland	treaties	usa
ussr	relngo	brazil
uk	conferences	burma
china	pprotests	uk
uk	embassy	usa
brazil	students	usa
brazil	ngoorgs3	netherlands
uk	intergovorgs3	india
ussr	relexports	poland
cuba	commonbloc1	egypt
poland	relemigrants	usa
burma	exports3	ussr
ussr	ngo	netherlands
uk	commonbloc2	usa
egypt	reltreaties	uk
ussr	unweightedunvote	uk
egypt	blockpositionindex	usa
usa	ngoorgs3	india
china	reldiplomacy	egypt
uk	conferences	india
usa	commonbloc0	ussr
usa	timesincewar	cuba
brazil	intergovorgs3	netherlands
indonesia	relngo	egypt
cuba	timesinceally	brazil
india	treaties	usa
egypt	relintergovorgs	india
uk	expeldiplomats	ussr
brazil	relngo	israel
usa	pprotests	ussr
netherlands	independence	poland
egypt	commonbloc1	ussr
uk	pprotests	usa
jordan	blockpositionindex	ussr
china	militaryactions	india
indonesia	relngo	india
burma	embassy	egypt
burma	intergovorgs3	uk
india	conferences	brazil
usa	boycottembargo	egypt
burma	relintergovorgs	cuba
ussr	officialvisits	india
usa	boycottembargo	indonesia
indonesia	severdiplomatic	cuba
netherlands	embassy	brazil
usa	ngo	cuba
brazil	treaties	usa
indonesia	negativebehavior	china
egypt	ngo	india
indonesia	intergovorgs	uk
brazil	relintergovorgs	cuba
poland	ngoorgs3	israel
egypt	relintergovorgs	brazil
indonesia	exports3	netherlands
china	timesinceally	cuba
uk	militaryalliance	netherlands
brazil	timesinceally	poland
india	conferences	cuba
jordan	reltreaties	uk
cuba	ngoorgs3	usa
usa	timesincewar	china
china	treaties	burma
netherlands	eemigrants	usa
indonesia	embassy	egypt
