head	relation	tail
uk	unweightedunvote	cuba
indonesia	exports3	usa
uk	releconomicaid	jordan
ussr	accusation	israel
poland	embassy	india
china	relngo	india
israel	intergovorgs3	netherlands
uk	conferences	cuba
cuba	blockpositionindex	usa
egypt	independence	poland
israel	blockpositionindex	usa
cuba	relintergovorgs	brazil
jordan	negativecomm	israel
netherlands	intergovorgs	uk
netherlands	independence	jordan
uk	commonbloc1	burma
ussr	reldiplomacy	uk
usa	timesinceally	egypt
india	timesinceally	netherlands
netherlands	embassy	burma
cuba	militaryalliance	ussr
israel	tourism3	uk
brazil	intergovorgs	egypt
uk	unweightedunvote	brazil
indonesia	commonbloc1	uk
burma	commonbloc1	netherlands
ussr	ngoorgs3	netherlands
usa	independence	egypt
brazil	conferences	cuba
jordan	tourism	egypt
india	ngo	uk
usa	commonbloc1	india
ussr	intergovorgs3	netherlands
usa	embassy	jordan
uk	weightedunvote	jordan
burma	relngo	india
egypt	exports3	poland
ussr	embassy	burma
china	independence	cuba
china	commonbloc0	uk
brazil	timesinceally	uk
usa	relngo	israel
usa	releconomicaid	brazil
china	commonbloc1	jordan
uk	timesinceally	israel
usa	relstudents	uk
poland	relngo	netherlands
usa	reltourism	israel
china	commonbloc2	ussr
usa	timesinceally	uk
jordan	accusation	israel
ussr	conferences	burma
netherlands	treaties	india
jordan	relngo	israel
poland	blockpositionindex	uk
usa	officialvisits	burma
netherlands	timesinceally	poland
cuba	embassy	china
brazil	ngoorgs3	usa
indonesia	negativecomm	usa
jordan	relngo	cuba
burma	reldiplomacy	israel
ussr	reldiplomacy	netherlands
ussr	tourism	poland
ussr	intergovorgs	poland
burma	conferences	usa
jordan	commonbloc1	poland
usa	independence	ussr
jordan	relintergovorgs	india
indonesia	reldiplomacy	poland
uk	reltourism	india
egypt	intergovorgs3	netherlands
uk	independence	usa
poland	eemigrants	usa
uk	ngo	egypt
usa	relintergovorgs	netherlands
ussr	reltourism	india
poland	commonbloc1	burma
china	timesinceally	poland
egypt	negativecomm	usa
poland	weightedunvote	usa
usa	independence	cuba
brazil	intergovorgs	usa
cuba	intergovorgs3	israel
china	negativebehavior	ussr
netherlands	commonbloc0	poland
uk	pprotests	poland
ussr	embassy	uk
poland	ngo	brazil
india	unoffialacts	indonesia
brazil	ngo	cuba
burma	conferences	uk
cuba	ngoorgs3	poland
jordan	reltourism	egypt
uk	timesinceally	india
usa	intergovorgs	uk
uk	commonbloc0	poland
uk	tourism3	israel
usa	embassy	ussr
ussr	relintergovorgs	netherlands
jordan	tourism3	egypt
usa	intergovorgs	india
indonesia	embassy	usa
egypt	unweightedunvote	israel
india	relintergovorgs	uk
netherlands	commonbloc1	israel
burma	embassy	india
india	embassy	cuba
usa	conferences	cuba
usa	exportbooks	uk
india	intergovorgs	brazil
uk	ngoorgs3	israel
ussr	reldiplomacy	china
brazil	emigrants3	usa
ussr	independence	poland
burma	relintergovorgs	brazil
usa	embassy	egypt
cuba	exports3	china
netherlands	intergovorgs3	poland
usa	timesinceally	china
indonesia	reldiplomacy	usa
usa	releconomicaid	india
uk	intergovorgs	usa
poland	commonbloc0	brazil
uk	ngo	india
cuba	reltreaties	usa
jordan	timesinceally	egypt
china	ngoorgs3	netherlands
netherlands	independence	usa
indonesia	relintergovorgs	poland
usa	conferences	brazil
egypt	reltreaties	ussr
india	relstudents	usa
uk	unweightedunvote	india
china	militaryalliance	cuba
china	negativebehavior	india
israel	reltreaties	uk
brazil	intergovorgs	netherlands
burma	intergovorgs3	brazil
jordan	relstudents	egypt
uk	ngo	brazil
ussr	reldiplomacy	egypt
cuba	conferences	uk
indonesia	embassy	china
cuba	relngo	egypt
poland	reltreaties	usa
cuba	relintergovorgs	uk
indonesia	commonbloc1	ussr
ussr	conferences	brazil
ussr	embassy	china
ussr	reldiplomacy	poland
china	commonbloc1	burma
ussr	ngoorgs3	israel
usa	intergovorgs3	cuba
poland	ngoorgs3	india
uk	tourism3	usa
burma	relexports	ussr
poland	commonbloc2	china
indonesia	nonviolentbehavior	cuba
jordan	conferences	egypt
india	commonbloc1	uk
china	commonbloc1	egypt
burma	reldiplomacy	usa
uk	embassy	ussr
china	intergovorgs3	uk
usa	relexportbooks	india
egypt	timesinceally	jordan
poland	intergovorgs3	india
cuba	timesinceally	ussr
india	negativebehavior	china
ussr	ngo	poland
indonesia	negativebehavior	netherlands
usa	exportbooks	brazil
cuba	blockpositionindex	brazil
israel	unweightedunvote	cuba
brazil	conferences	ussr
egypt	intergovorgs3	brazil
india	intergovorgs3	uk
indonesia	relintergovorgs	india
ussr	treaties	poland
ussr	treaties	uk
india	treaties	netherlands
usa	independence	brazil
india	unweightedunvote	poland
israel	intergovorgs	uk
usa	booktranslations	cuba
indonesia	reldiplomacy	burma
egypt	intergovorgs	netherlands
usa	officialvisits	india
burma	commonbloc1	ussr
uk	blockpositionindex	ussr
china	timesinceally	usa
poland	timesinceally	egypt
brazil	relngo	usa
china	duration	usa
netherlands	independence	uk
netherlands	intergovorgs	brazil
uk	exportbooks	brazil
usa	duration	china
india	exports3	ussr
india	conferences	burma
india	timesincewar	china
uk	embassy	jordan
ussr	blockpositionindex	india
china	relbooktranslations	usa
israel	ngo	usa
ussr	ngoorgs3	uk
ussr	commonbloc1	israel
netherlands	students	usa
brazil	conferences	usa
ussr	commonbloc1	jordan
ussr	boycottembargo	usa
ussr	officialvisits	china
brazil	timesinceally	china
uk	economicaid	jordan
uk	exportbooks	usa
ussr	militaryalliance	poland
usa	relngo	uk
uk	embassy	israel
poland	embassy	egypt
netherlands	booktranslations	usa
egypt	ngo	netherlands
cuba	intergovorgs3	netherlands
india	attackembassy	indonesia
uk	intergovorgs	poland
israel	embassy	ussr
cuba	independence	china
netherlands	tourism	uk
jordan	relintergovorgs	netherlands
brazil	exports3	uk
brazil	blockpositionindex	china
jordan	relngo	netherlands
indonesia	commonbloc1	usa
uk	officialvisits	ussr
uk	reltreaties	ussr
uk	weightedunvote	ussr
usa	conferences	poland
egypt	accusation	usa
indonesia	blockpositionindex	usa
cuba	weightedunvote	netherlands
netherlands	weightedunvote	egypt
israel	unweightedunvote	poland
poland	intergovorgs3	ussr
poland	embassy	burma
israel	ngo	uk
usa	emigrants3	uk
indonesia	reldiplomacy	netherlands
indonesia	commonbloc2	jordan
burma	conferences	ussr
ussr	commonbloc2	china
uk	weightedunvote	usa
poland	timesinceally	brazil
jordan	relintergovorgs	indonesia
israel	intergovorgs	netherlands
ussr	commonbloc0	usa
ussr	intergovorgs3	poland
netherlands	weightedunvote	cuba
brazil	relintergovorgs	usa
jordan	relngo	india
israel	negativecomm	jordan
egypt	relngo	usa
china	intergovorgs3	cuba
uk	independence	egypt
ussr	reltreaties	poland
uk	pprotests	cuba
israel	relintergovorgs	uk
brazil	timesinceally	ussr
brazil	intergovorgs3	india
netherlands	relngo	usa
egypt	reldiplomacy	india
brazil	booktranslations	uk
egypt	relexports	usa
cuba	commonbloc0	netherlands
china	pprotests	india
poland	reldiplomacy	jordan
indonesia	intergovorgs	brazil
usa	relintergovorgs	uk
burma	exports3	indonesia
egypt	ngoorgs3	uk
usa	weightedunvote	jordan
india	relintergovorgs	usa
poland	conferences	brazil
china	independence	ussr
burma	blockpositionindex	ussr
poland	independence	egypt
uk	commonbloc1	india
brazil	timesinceally	usa
india	intergovorgs3	israel
jordan	students	usa
cuba	independence	netherlands
indonesia	intergovorgs3	brazil
poland	commonbloc1	jordan
china	ngoorgs3	usa
netherlands	militaryalliance	usa
uk	pprotests	egypt
netherlands	timesinceally	uk
netherlands	treaties	uk
uk	commonbloc1	indonesia
brazil	relbooktranslations	uk
ussr	independence	netherlands
poland	dependent	ussr
cuba	ngo	netherlands
india	weightedunvote	netherlands
uk	commonbloc0	ussr
china	accusation	indonesia
egypt	relngo	india
china	reldiplomacy	indonesia
netherlands	intergovorgs3	egypt
india	relintergovorgs	netherlands
uk	reltourism	usa
china	pprotests	ussr
china	commonbloc1	israel
egypt	weightedunvote	netherlands
indonesia	intergovorgs3	egypt
indonesia	violentactions	china
burma	relngo	indonesia
poland	accusation	usa
israel	weightedunvote	netherlands
poland	emigrants3	usa
cuba	intergovorgs3	india
usa	embassy	burma
uk	intergovorgs3	poland
ussr	aidenemy	usa
ussr	blockpositionindex	usa
uk	commonbloc0	cuba
ussr	ngoorgs3	egypt
uk	ngoorgs3	netherlands
usa	blockpositionindex	egypt
cuba	exports3	ussr
india	negativecomm	usa
jordan	embassy	india
netherlands	ngoorgs3	brazil
uk	unweightedunvote	israel
indonesia	conferences	usa
ussr	negativebehavior	usa
usa	tourism	ussr
indonesia	accusation	usa
poland	independence	brazil
uk	conferences	netherlands
brazil	reltreaties	israel
ussr	reltreaties	netherlands
egypt	dependent	uk
netherlands	reltreaties	usa
jordan	treaties	uk
ussr	embassy	usa
israel	relintergovorgs	usa
ussr	ngoorgs3	brazil
uk	unweightedunvote	netherlands
china	booktranslations	usa
poland	treaties	ussr
india	exports3	uk
ussr	reltreaties	china
netherlands	intergovorgs	india
indonesia	relngo	netherlands
uk	ngoorgs3	usa
ussr	weightedunvote	israel
egypt	reltreaties	brazil
brazil	commonbloc0	poland
jordan	ngoorgs3	egypt
cuba	relngo	brazil
india	ngo	usa
cuba	embassy	poland
usa	unweightedunvote	uk
china	reldiplomacy	cuba
egypt	timesinceally	china
israel	relexports	uk
ussr	relexports	cuba
egypt	relbooktranslations	uk
poland	intergovorgs	india
egypt	ngo	uk
brazil	relintergovorgs	netherlands
israel	embassy	burma
ussr	commonbloc2	poland
brazil	embassy	egypt
brazil	reldiplomacy	uk
brazil	independence	usa
egypt	relexports	india
burma	reldiplomacy	uk
uk	ngo	netherlands
jordan	ngoorgs3	brazil
uk	timesinceally	brazil
poland	embassy	indonesia
egypt	ngo	usa
egypt	conferences	jordan
jordan	duration	israel
poland	ngo	israel
ussr	weightedunvote	uk
ussr	pprotests	usa
poland	relngo	uk
ussr	relintergovorgs	poland
uk	eemigrants	usa
poland	reldiplomacy	egypt
poland	relexports	uk
brazil	reldiplomacy	indonesia
india	dependent	uk
uk	blockpositionindex	china
cuba	independence	ussr
israel	exports3	netherlands
ussr	embassy	cuba
china	independence	usa
india	accusation	uk
china	reldiplomacy	uk
cuba	ngoorgs3	india
uk	emigrants3	usa
ussr	intergovorgs3	uk
usa	negativebehavior	cuba
indonesia	ngoorgs3	usa
india	negativebehavior	usa
indonesia	officialvisits	ussr
india	embassy	jordan
uk	embassy	brazil
poland	weightedunvote	israel
burma	weightedunvote	netherlands
indonesia	conferences	burma
cuba	weightedunvote	usa
israel	reltreaties	usa
indonesia	duration	uk
poland	booktranslations	ussr
cuba	accusation	usa
netherlands	unweightedunvote	uk
burma	commonbloc1	china
poland	ngoorgs3	usa
israel	unweightedunvote	india
brazil	embassy	india
israel	relbooktranslations	usa
burma	relexports	china
china	treaties	egypt
egypt	militaryalliance	jordan
brazil	conferences	india
uk	tourism	netherlands
burma	commonbloc2	india
israel	treaties	usa
jordan	exports3	india
egypt	timesincewar	israel
burma	relintergovorgs	india
china	officialvisits	cuba
burma	exports3	china
netherlands	intergovorgs3	india
india	relngo	brazil
uk	commonbloc1	egypt
india	intergovorgs	uk
israel	pprotests	jordan
brazil	blockpositionindex	cuba
netherlands	commonbloc1	egypt
china	violentactions	india
egypt	blockpositionindex	ussr
egypt	exports3	china
cuba	reltreaties	indonesia
brazil	ngoorgs3	uk
indonesia	reldiplomacy	jordan
poland	reldiplomacy	burma
india	commonbloc1	brazil
ussr	officialvisits	uk
indonesia	relbooktranslations	netherlands
burma	booktranslations	uk
indonesia	conferences	uk
cuba	relemigrants	usa
cuba	relngo	uk
usa	reltourism	netherlands
brazil	timesinceally	netherlands
indonesia	ngoorgs3	egypt
ussr	intergovorgs	netherlands
india	ngo	poland
brazil	relstudents	usa
burma	relngo	usa
india	violentactions	china
burma	timesincewar	usa
cuba	reldiplomacy	israel
israel	embassy	uk
burma	intergovorgs3	egypt
ussr	accusation	china
israel	duration	jordan
china	tourism	ussr
burma	relintergovorgs	jordan
jordan	relstudents	usa
egypt	timesinceally	poland
uk	relexportbooks	burma
uk	treaties	usa
cuba	timesinceally	usa
ussr	ngoorgs3	india
netherlands	officialvisits	usa
burma	relintergovorgs	poland
uk	relexports	netherlands
netherlands	commonbloc1	jordan
israel	weightedunvote	poland
india	intergovorgs3	usa
ussr	blockpositionindex	egypt
indonesia	negativebehavior	cuba
india	timesinceally	china
poland	booktranslations	usa
usa	relngo	netherlands
india	embassy	brazil
netherlands	booktranslations	ussr
poland	negativebehavior	usa
india	ngoorgs3	uk
cuba	relngo	india
jordan	weightedunvote	usa
egypt	intergovorgs	indonesia
usa	blockpositionindex	cuba
netherlands	relbooktranslations	usa
indonesia	intergovorgs	usa
israel	tourism	uk
uk	weightedunvote	poland
egypt	ngoorgs3	india
uk	students	usa
uk	tourism	usa
poland	relintergovorgs	israel
egypt	ngoorgs3	israel
ussr	reldiplomacy	india
uk	reltreaties	usa
brazil	reldiplomacy	ussr
uk	booktranslations	ussr
indonesia	reldiplomacy	cuba
china	relngo	netherlands
china	independence	netherlands
usa	releconomicaid	jordan
usa	economicaid	brazil
uk	treaties	india
usa	intergovorgs3	india
jordan	commonbloc1	netherlands
uk	relintergovorgs	netherlands
usa	commonbloc1	indonesia
uk	timesincewar	egypt
egypt	exports3	ussr
brazil	ngoorgs3	india
netherlands	embassy	israel
brazil	relintergovorgs	israel
uk	intergovorgs	cuba
brazil	reldiplomacy	usa
egypt	relngo	brazil
usa	negativebehavior	china
israel	relintergovorgs	india
brazil	commonbloc0	cuba
brazil	ngo	india
indonesia	relngo	poland
cuba	intergovorgs	netherlands
poland	unweightedunvote	india
burma	commonbloc1	uk
poland	commonbloc1	egypt
india	relintergovorgs	israel
usa	militaryalliance	brazil
jordan	reldiplomacy	egypt
china	pprotests	indonesia
usa	ngoorgs3	poland
netherlands	intergovorgs3	usa
china	ngoorgs3	poland
netherlands	blockpositionindex	china
india	eemigrants	usa
cuba	officialvisits	ussr
india	commonbloc2	israel
burma	relngo	cuba
israel	timesinceally	usa
uk	ngo	ussr
poland	booktranslations	uk
israel	ngoorgs3	uk
uk	intergovorgs	indonesia
indonesia	dependent	netherlands
cuba	negativebehavior	usa
india	ngo	brazil
uk	relexportbooks	brazil
india	conferences	usa
netherlands	embassy	uk
india	embassy	netherlands
usa	embassy	india
brazil	ngo	uk
egypt	independence	uk
china	relngo	israel
poland	students	usa
uk	exportbooks	egypt
usa	tourism	israel
poland	reltreaties	china
uk	embassy	india
cuba	timesinceally	uk
china	timesinceally	ussr
uk	embassy	egypt
usa	intergovorgs	poland
usa	ngo	uk
cuba	conferences	ussr
cuba	treaties	uk
uk	tourism	jordan
cuba	independence	egypt
netherlands	commonbloc2	brazil
usa	treaties	netherlands
egypt	embassy	usa
usa	relexports	uk
usa	reltourism	jordan
cuba	relintergovorgs	netherlands
israel	militaryactions	jordan
usa	ngoorgs3	israel
usa	tourism	india
ussr	ngoorgs3	poland
uk	timesinceally	china
egypt	embassy	poland
cuba	embassy	netherlands
poland	conferences	ussr
poland	intergovorgs3	netherlands
china	relngo	ussr
usa	commonbloc0	china
poland	blockpositionindex	brazil
uk	weightedunvote	israel
netherlands	relemigrants	usa
china	commonbloc1	india
china	independence	brazil
israel	relngo	brazil
netherlands	ngo	israel
ussr	timesinceally	usa
ussr	treaties	netherlands
uk	tourism	egypt
netherlands	blockpositionindex	poland
ussr	treaties	usa
ussr	accusation	usa
usa	commonbloc1	jordan
indonesia	embassy	poland
india	timesinceally	poland
usa	commonbloc2	netherlands
usa	negativecomm	cuba
poland	reldiplomacy	israel
ussr	timesinceally	india
uk	nonviolentbehavior	usa
india	pprotests	israel
burma	commonbloc2	jordan
netherlands	timesincewar	indonesia
indonesia	officialvisits	poland
uk	commonbloc2	brazil
poland	intergovorgs3	usa
india	relngo	israel
netherlands	unweightedunvote	ussr
burma	commonbloc1	usa
burma	relngo	uk
jordan	relexports	india
china	intergovorgs3	poland
jordan	reldiplomacy	ussr
brazil	negativebehavior	china
india	booktranslations	uk
indonesia	booktranslations	uk
egypt	reldiplomacy	uk
india	intergovorgs3	netherlands
jordan	blockpositionindex	usa
netherlands	independence	ussr
poland	reltreaties	netherlands
brazil	relngo	uk
jordan	relintergovorgs	burma
poland	blockpositionindex	netherlands
ussr	conferences	indonesia
netherlands	conferences	uk
poland	embassy	uk
ussr	conferences	uk
china	independence	uk
india	treaties	uk
ussr	tourism3	poland
israel	intergovorgs	usa
netherlands	tourism3	usa
indonesia	reldiplomacy	brazil
israel	relngo	poland
poland	relintergovorgs	ussr
brazil	intergovorgs3	cuba
cuba	relngo	poland
usa	treaties	ussr
uk	relemigrants	usa
brazil	embassy	ussr
brazil	commonbloc2	netherlands
brazil	relngo	netherlands
brazil	timesinceally	egypt
netherlands	ngo	ussr
poland	exports3	ussr
burma	ngoorgs3	brazil
uk	negativecomm	ussr
netherlands	reltourism	israel
uk	reltourism	ussr
ussr	intergovorgs3	india
burma	weightedunvote	uk
egypt	students	usa
indonesia	relexports	china
india	weightedunvote	uk
jordan	violentactions	israel
ussr	booktranslations	poland
egypt	embassy	netherlands
ussr	reldiplomacy	indonesia
usa	relngo	india
uk	conferences	poland
brazil	commonbloc2	usa
usa	booktranslations	netherlands
indonesia	relintergovorgs	israel
netherlands	relstudents	usa
cuba	conferences	india
israel	unweightedunvote	uk
cuba	reldiplomacy	ussr
indonesia	relexports	usa
brazil	independence	china
usa	blockpositionindex	jordan
brazil	independence	egypt
egypt	treaties	uk
indonesia	boycottembargo	usa
usa	relexportbooks	uk
ussr	releconomicaid	india
indonesia	relintergovorgs	egypt
israel	relintergovorgs	egypt
china	officialvisits	egypt
indonesia	relexports	ussr
ussr	blockpositionindex	jordan
cuba	reltreaties	india
china	treaties	indonesia
brazil	embassy	usa
netherlands	weightedunvote	burma
indonesia	commonbloc2	india
israel	booktranslations	uk
jordan	pprotests	israel
china	relngo	poland
ussr	militaryalliance	cuba
ussr	timesinceally	poland
brazil	reltreaties	uk
brazil	booktranslations	usa
india	ngoorgs3	usa
usa	conferences	netherlands
ussr	independence	brazil
egypt	weightedunvote	israel
china	treaties	poland
usa	blockpositionindex	israel
burma	embassy	poland
brazil	independence	uk
poland	intergovorgs	brazil
poland	reldiplomacy	china
netherlands	intergovorgs3	israel
indonesia	commonbloc1	brazil
netherlands	independence	egypt
china	blockpositionindex	brazil
ussr	economicaid	cuba
jordan	students	egypt
usa	economicaid	india
usa	booktranslations	ussr
indonesia	relexports	netherlands
egypt	ngoorgs3	poland
china	nonviolentbehavior	usa
poland	unweightedunvote	netherlands
indonesia	unoffialacts	china
netherlands	intergovorgs3	uk
burma	conferences	indonesia
brazil	exports3	netherlands
usa	negativebehavior	ussr
poland	commonbloc0	uk
israel	blockpositionindex	ussr
brazil	intergovorgs3	uk
burma	intergovorgs3	india
poland	timesinceally	india
burma	relngo	brazil
usa	commonbloc1	egypt
india	ngoorgs3	poland
usa	tourism3	uk
brazil	reltreaties	ussr
indonesia	embassy	india
netherlands	relngo	uk
cuba	commonbloc1	indonesia
uk	treaties	poland
ussr	commonbloc0	netherlands
egypt	treaties	usa
israel	commonbloc2	indonesia
brazil	ngo	egypt
usa	timesinceally	india
usa	blockpositionindex	china
egypt	commonbloc1	china
uk	intergovorgs	india
brazil	eemigrants	usa
brazil	embassy	netherlands
netherlands	relexportbooks	usa
china	warning	india
usa	negativebehavior	indonesia
ussr	relngo	india
usa	violentactions	china
poland	reldiplomacy	uk
netherlands	exportbooks	usa
usa	conferences	uk
poland	unweightedunvote	uk
uk	relexportbooks	netherlands
egypt	timesinceally	usa
china	negativecomm	uk
usa	students	uk
china	relngo	brazil
netherlands	exports3	usa
netherlands	ngo	egypt
israel	lostterritory	jordan
cuba	relintergovorgs	india
egypt	exports3	india
ussr	relintergovorgs	uk
uk	relexportbooks	usa
poland	conferences	uk
china	commonbloc2	cuba
china	embassy	poland
usa	timesinceally	ussr
usa	officialvisits	ussr
india	commonbloc2	indonesia
cuba	reltreaties	egypt
netherlands	emigrants3	usa
china	accusation	usa
israel	ngo	poland
cuba	timesinceally	netherlands
brazil	militaryalliance	usa
india	unweightedunvote	ussr
uk	militaryactions	indonesia
ussr	relintergovorgs	israel
india	conferences	uk
usa	militaryalliance	israel
ussr	commonbloc2	cuba
brazil	commonbloc0	china
poland	conferences	usa
jordan	militaryactions	israel
egypt	embassy	india
cuba	ngo	brazil
india	intergovorgs3	indonesia
china	relexports	uk
china	reldiplomacy	poland
ussr	unweightedunvote	india
india	blockpositionindex	usa
cuba	intergovorgs3	usa
indonesia	negativebehavior	usa
netherlands	independence	china
india	pprotests	usa
netherlands	weightedunvote	israel
netherlands	embassy	egypt

